factor_id,name,scope,category_path,unit,gas,value_kgco2e_per_unit,geography,publication_year,source,source_version,licence,retrieved_on
desnz.2025.1_100_1005_7_1,Fuels — Gaseous fuels — Natural gas (100% mineral blend),1,Fuels / Gaseous fuels / Natural gas (100% mineral blend),kWh (Net CV),CO2e,0.20489,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1005_7_2,Fuels — Gaseous fuels — Natural gas (100% mineral blend),1,Fuels / Gaseous fuels / Natural gas (100% mineral blend),kWh (Net CV),CO2,0.20448,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1005_7_3,Fuels — Gaseous fuels — Natural gas (100% mineral blend),1,Fuels / Gaseous fuels / Natural gas (100% mineral blend),kWh (Net CV),CH4,0.00031,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1005_7_4,Fuels — Gaseous fuels — Natural gas (100% mineral blend),1,Fuels / Gaseous fuels / Natural gas (100% mineral blend),kWh (Net CV),N2O,0.0001,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1005_6_1,Fuels — Gaseous fuels — Natural gas (100% mineral blend),1,Fuels / Gaseous fuels / Natural gas (100% mineral blend),kWh (Gross CV),CO2e,0.18494,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1005_6_2,Fuels — Gaseous fuels — Natural gas (100% mineral blend),1,Fuels / Gaseous fuels / Natural gas (100% mineral blend),kWh (Gross CV),CO2,0.18457,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1005_6_3,Fuels — Gaseous fuels — Natural gas (100% mineral blend),1,Fuels / Gaseous fuels / Natural gas (100% mineral blend),kWh (Gross CV),CH4,0.00028,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1005_6_4,Fuels — Gaseous fuels — Natural gas (100% mineral blend),1,Fuels / Gaseous fuels / Natural gas (100% mineral blend),kWh (Gross CV),N2O,9e-05,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1006_15_1,Fuels — Gaseous fuels — Other petroleum gas,1,Fuels / Gaseous fuels / Other petroleum gas,tonnes,CO2e,2578.24647,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1006_15_2,Fuels — Gaseous fuels — Other petroleum gas,1,Fuels / Gaseous fuels / Other petroleum gas,tonnes,CO2,2575.7,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1006_15_3,Fuels — Gaseous fuels — Other petroleum gas,1,Fuels / Gaseous fuels / Other petroleum gas,tonnes,CH4,1.3104,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1006_15_4,Fuels — Gaseous fuels — Other petroleum gas,1,Fuels / Gaseous fuels / Other petroleum gas,tonnes,N2O,1.23607,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1006_8_1,Fuels — Gaseous fuels — Other petroleum gas,1,Fuels / Gaseous fuels / Other petroleum gas,litres,CO2e,0.94442,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1006_8_2,Fuels — Gaseous fuels — Other petroleum gas,1,Fuels / Gaseous fuels / Other petroleum gas,litres,CO2,0.94348,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1006_8_3,Fuels — Gaseous fuels — Other petroleum gas,1,Fuels / Gaseous fuels / Other petroleum gas,litres,CH4,0.00048,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1006_8_4,Fuels — Gaseous fuels — Other petroleum gas,1,Fuels / Gaseous fuels / Other petroleum gas,litres,N2O,0.00045,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
